"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tua Tagovailoa (MIA)","28","45","62.2","466","10.4","3","1","0","5","5","0","1","1","28.1","28.1","97.8%"
"2","Mac Jones (NE)","35","54","64.8","316","5.9","3","1","2","2","15","0","0","1","25.1","25.1","6.8%"
"3","Jordan Love (GB)","15","27","55.6","245","9.1","3","0","1","3","12","0","0","1","23.0","23.0","66.7%"
"4","Anthony Richardson (IND)","24","37","64.9","223","6.0","1","1","4","10","40","1","0","1","21.9","21.9","32.8%"
"5","Deshaun Watson (CLE)","16","29","55.2","154","5.3","1","1","3","5","45","1","0","1","21.7","21.7","65.2%"
"6","Justin Herbert (LAC)","23","33","69.7","229","6.9","1","0","3","5","17","1","0","1","20.9","20.9","98.8%"
"7","Patrick Mahomes II (KC)","21","39","53.8","226","5.8","2","1","0","6","45","0","0","1","20.5","20.5","100.0%"
"8","Trevor Lawrence (JAC)","24","32","75.0","241","7.5","2","1","2","7","21","0","0","1","18.7","18.7","92.6%"
"9","Kirk Cousins (MIN)","33","44","75.0","344","7.8","2","1","2","3","7","0","2","1","17.5","17.5","92.6%"
"10","Brock Purdy (SF)","19","29","65.5","220","7.6","2","0","3","3","20","0","1","1","16.8","16.8","82.7%"
"11","Sam Howell (WAS)","19","31","61.3","202","6.5","1","1","6","2","11","1","1","1","16.2","16.2","37.7%"
"12","Jimmy Garoppolo (LV)","20","26","76.9","200","7.7","2","1","0","9","11","0","0","1","16.1","16.1","9.9%"
"13","Baker Mayfield (TB)","21","34","61.8","173","5.1","2","0","1","8","11","0","0","1","16.0","16.0","29.0%"
"14","Derek Carr (NO)","23","33","69.7","305","9.2","1","1","4","3","4","0","0","1","15.6","15.6","28.1%"
"15","Justin Fields (CHI)","24","37","64.9","216","5.8","1","1","4","9","59","0","1","1","15.5","15.5","88.7%"
"16","Russell Wilson (DEN)","27","34","79.4","177","5.2","2","0","2","1","1","0","0","1","15.2","15.2","55.5%"
"17","Matthew Stafford (LAR)","24","38","63.2","334","8.8","0","0","0","3","11","0","0","1","14.5","14.5","62.1%"
"18","Jared Goff (DET)","22","35","62.9","253","7.2","1","0","1","5","-1","0","0","1","14.0","14.0","83.8%"
"19","Jalen Hurts (PHI)","22","33","66.7","170","5.2","1","0","3","9","37","0","1","1","12.5","12.5","100.0%"
"20","Josh Allen (BUF)","29","41","70.7","236","5.8","1","3","5","6","36","0","1","1","12.0","12.0","100.0%"
"21","Kenny Pickett (PIT)","31","46","67.4","232","5.0","1","2","5","1","4","0","0","1","11.7","11.7","18.3%"
"22","C.J. Stroud (HOU)","28","44","63.6","242","5.5","0","0","5","4","20","0","1","1","9.7","9.7","75.8%"
"23","Bryce Young (CAR)","20","38","52.6","146","3.8","1","2","2","3","17","0","0","1","9.5","9.5","10.4%"
"24","Zach Wilson (NYJ)","14","21","66.7","140","6.7","1","1","2","4","6","0","0","1","9.2","9.2","5.2%"
"25","Geno Smith (SEA)","16","26","61.5","112","4.3","1","0","2","1","6","0","0","1","9.1","9.1","69.5%"
"26","Desmond Ridder (ATL)","15","18","83.3","115","6.4","1","0","4","1","-1","0","0","1","7.9","7.9","9.9%"
"27","Lamar Jackson (BAL)","17","22","77.3","169","7.7","0","1","4","6","38","0","1","1","7.6","7.6","99.8%"
"28","Daniel Jones (NYG)","15","28","53.6","104","3.7","0","2","7","13","43","0","0","1","6.5","6.5","35.9%"
"29","Dak Prescott (DAL)","13","24","54.2","143","6.0","0","0","0","1","6","0","0","1","6.3","6.3","83.8%"
"30","Ryan Tannehill (TEN)","16","34","47.1","198","5.8","0","3","3","3","5","0","0","1","5.4","5.4","3.9%"
"31","Joe Burrow (CIN)","14","31","45.2","82","2.6","0","0","2","1","-1","0","0","1","3.2","3.2","97.1%"
"32","Joshua Dobbs (ARI)","21","30","70.0","132","4.4","0","0","3","3","-3","0","2","1","1.0","1.0","16.5%"
"33","Tyrod Taylor (NYG)","2","2","100.0","6","3.0","0","0","0","0","0","0","0","1","0.2","0.2","3.0%"
"34","Aaron Rodgers (NYJ)","0","1","0.0","0","0.0","0","0","1","0","0","0","0","1","0.0","0.0","14.1%"
"35","Jake Luton (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
