"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Raheem Mostert (MIA)","17","115","6.8","49","3","2","3","3","17","5.7","1","0","1","31.2","31.2","97.7%"
"2","Kyren Williams (LAR)","20","158","7.9","31","3","1","0","0","0","0","0","0","1","21.8","21.8","90.8%"
"3","Travis Etienne Jr. (JAC)","18","55","3.1","22","1","2","3","3","28","9.3","0","0","1","20.3","20.3","99.8%"
"4","Derrick Henry (TEN)","12","97","8.1","63","4","1","2","2","16","8.0","0","0","1","17.3","17.3","99.9%"
"5","Breece Hall (NYJ)","12","39","3.3","9","0","1","5","5","54","10.8","0","0","1","15.3","15.3","96.8%"
"6","Chuba Hubbard (CAR)","19","88","4.6","19","0","1","1","1","2","2.0","0","0","1","15.0","15.0","51.1%"
"7","Kenneth Walker III (SEA)","19","62","3.3","21","1","1","3","3","27","9.0","0","0","1","14.9","14.9","99.0%"
"8","Kareem Hunt (CLE)","12","47","3.9","16","0","1","3","3","24","8.0","0","0","1","13.1","13.1","73.2%"
"9","Rhamondre Stevenson (NE)","10","46","4.6","15","0","1","5","6","24","4.8","0","0","1","13.0","13.0","96.2%"
"10","Zack Moss (IND)","7","21","3.0","9","0","1","6","7","38","6.3","0","0","1","11.9","11.9","84.3%"
"11","Brian Robinson Jr. (WAS)","10","31","3.1","9","0","0","2","2","25","12.5","1","0","1","11.6","11.6","90.3%"
"12","Christian McCaffrey (SF)","11","43","3.9","27","1","0","3","3","9","3.0","1","0","1","11.2","11.2","100.0%"
"13","Tony Pollard (DAL)","15","30","2.0","7","0","0","6","7","80","13.3","0","0","1","11.0","11.0","99.8%"
"14","Ezekiel Elliott (NE)","7","34","4.9","8","0","1","1","1","15","15.0","0","0","1","10.9","10.9","43.7%"
"15","Alvin Kamara (NO)","19","68","3.6","13","0","0","7","8","36","5.1","0","0","1","10.4","10.4","98.3%"
"16","Saquon Barkley (NYG)","24","93","3.9","34","2","0","4","5","5","1.3","0","0","1","9.8","9.8","100.0%"
"17","D'Andre Swift (PHI)","10","18","1.8","9","0","0","8","10","40","5.0","1","1","1","9.8","9.8","97.5%"
"18","Isiah Pacheco (KC)","16","62","3.9","15","0","0","6","6","36","6.0","0","0","1","9.8","9.8","97.1%"
"19","Salvon Ahmed (MIA)","6","23","3.8","9","0","1","3","5","11","3.7","0","0","1","9.4","9.4","6.2%"
"20","Josh Jacobs (LV)","25","77","3.1","18","0","0","2","5","16","8.0","0","0","1","9.3","9.3","99.8%"
"21","Jerome Ford (CLE)","17","84","4.9","22","1","0","2","2","7","3.5","0","0","1","9.1","9.1","86.5%"
"22","Jordan Mason (SF)","5","27","5.4","10","0","1","0","0","0","0","0","0","1","8.7","8.7","13.7%"
"23","Bijan Robinson (ATL)","13","37","2.8","9","0","0","5","8","43","8.6","0","0","1","8.0","8.0","100.0%"
"24","Antonio Gibson (WAS)","3","15","5.0","9","0","0","1","1","1","1.0","1","0","1","7.6","7.6","45.4%"
