"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jordan Addison (MIN)","7","10","123","17.6","60","5","2","0","0","0","0","1","24.3","24.3","92.6%"
"2","A.J. Brown (PHI)","10","15","137","13.7","42","5","1","0","0","0","0","1","19.7","19.7","100.0%"
"3","Josh Downs (IND)","5","6","125","25.0","59","7","1","0","0","0","0","1","18.5","18.5","55.9%"
"4","Puka Nacua (LAR)","8","12","154","19.3","36","8","0","0","0","0","0","1","15.4","15.4","96.6%"
"5","Tyreek Hill (MIA)","11","15","88","8.0","27","1","1","0","0","0","0","1","14.8","14.8","100.0%"
"6","Marquez Valdes-Scantling (KC)","3","5","84","28.0","46","4","1","0","0","0","0","1","14.4","14.4","5.5%"
"7","Michael Pittman Jr. (IND)","2","5","83","41.5","75","4","1","0","0","0","0","1","14.3","14.3","94.5%"
"8","Mike Evans (TB)","6","8","82","13.7","40","3","1","0","0","0","0","1","14.2","14.2","96.5%"
"9","Courtland Sutton (DEN)","6","6","76","12.7","33","2","1","0","0","0","0","1","13.6","13.6","81.4%"
"10","Joshua Palmer (LAC)","5","7","133","26.6","60","6","0","0","0","0","0","1","13.3","13.3","64.7%"
"11","Christian Kirk (JAC)","6","6","90","15.0","44","3","1","0","0","0","1","1","13.0","13.0","92.4%"
"12","Jaxon Smith-Njigba (SEA)","4","7","63","15.8","28","1","1","0","0","0","0","1","12.3","12.3","58.2%"
"13","Jake Bobo (SEA)","4","5","61","15.3","31","2","1","0","0","0","0","1","12.1","12.1","1.0%"
"14","Rashee Rice (KC)","5","6","60","12.0","37","2","1","0","0","0","0","1","12.0","12.0","62.2%"
"15","Stefon Diggs (BUF)","6","12","58","9.7","25","1","1","0","0","0","0","1","11.8","11.8","100.0%"
"16","Jakobi Meyers (LV)","7","13","50","7.1","15","0","1","0","0","0","0","1","11.0","11.0","89.4%"
"17","George Pickens (PIT)","5","8","107","21.4","31","4","0","0","0","0","0","1","10.7","10.7","92.0%"
"18","Kendrick Bourne (NE)","6","7","63","10.5","33","2","1","0","0","0","1","1","10.3","10.3","38.8%"
"19","Michael Thomas (NO)","3","7","42","14.0","17","0","1","0","0","0","0","1","10.2","10.2","82.7%"
"20","Amon-Ra St. Brown (DET)","13","19","102","7.8","15","0","0","0","0","0","0","1","10.2","10.2","100.0%"
"21","Tutu Atwell (LAR)","1","2","31","31.0","31","2","1","0","0","0","0","1","9.1","9.1","41.9%"
"22","Romeo Doubs (GB)","2","5","30","15.0","16","0","1","0","0","0","0","1","9.0","9.0","55.5%"
"23","Terry McLaurin (WAS)","6","9","90","15.0","31","3","0","0","0","0","0","1","9.0","9.0","93.8%"
"24","Jayden Reed (GB)","3","4","21","7.0","12","0","1","0","0","0","0","1","8.1","8.1","17.1%"
"25","Diontae Johnson (PIT)","5","6","79","15.8","39","2","0","0","0","0","0","1","7.9","7.9","82.2%"
"26","Zay Flowers (BAL)","4","6","75","18.8","46","4","0","0","0","0","0","1","7.5","7.5","90.1%"
"27","Jalin Hyatt (NYG)","2","5","75","37.5","42","5","0","0","0","0","0","1","7.5","7.5","4.5%"
"28","Demario Douglas (NE)","4","6","54","13.5","19","0","0","1","20","0","0","1","7.4","7.4","1.5%"
"29","Nelson Agholor (BAL)","1","1","12","12.0","12","0","1","0","0","0","0","1","7.2","7.2","1.4%"
"30","Brandon Powell (MIN)","4","5","64","16.0","27","1","0","1","5","0","0","1","6.9","6.9","4.1%"
"31","Chris Godwin (TB)","6","12","66","11.0","33","2","0","0","0","0","0","1","6.6","6.6","92.9%"
"32","Jerry Jeudy (DEN)","5","5","64","12.8","18","0","0","0","0","0","0","1","6.4","6.4","77.5%"
"33","Jaylen Waddle (MIA)","6","6","63","10.5","16","0","0","0","0","0","0","1","6.3","6.3","99.7%"
"34","Elijah Moore (CLE)","4","7","59","14.8","30","2","0","0","0","0","0","1","5.9","5.9","48.1%"
"35","Davante Adams (LV)","7","12","57","8.1","15","0","0","0","0","0","0","1","5.7","5.7","100.0%"
"36","Chris Olave (NO)","7","15","57","8.1","14","0","0","0","0","0","0","1","5.7","5.7","98.6%"
