id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
HurtJa00,Jalen Hurts,PHI,qb,@ 10:34 PM EDT,25,16.3,,513.1,343.2,190.2,9.1,24.1,26.6,4165.3,8.1,,,157.0,42.1,10.2,791.9,,,,,,,,,,,,,,,,,,,,,,,,,24.03
AlleJo01,Josh Allen,BUF,qb,@ 10:34 PM EDT,27,16.5,,598.8,385.3,221.1,14.1,17.7,34.3,4480.8,7.5,,,109.1,31.9,6.4,634.4,,,,,,,,,,,,,,,,,,,,,,,,,23.49
MahoPa00,Patrick Mahomes II,KC,qb,@ 10:34 PM EDT,28,16.5,,658.4,444.8,246.8,12.6,17.2,38.0,5231.3,7.9,,,61.7,17.1,3.2,345.7,,,,,,,,,,,,,,,,,,,,,,,,,23.48
JeffJu00,Justin Jefferson,MIN,wr,@ 10:34 PM EDT,24,16.3,,0.9,0.6,0.3,,,,12.5,13.3,,,4.1,1.2,0.2,24.3,81.9,123.7,9.2,1733.7,,,,,,,,,,,,,,,,,,,,,21.91
BurrJo01,Joe Burrow,CIN,qb,@ 10:34 PM EDT,26,16.3,,603.1,413.3,227.0,12.6,25.7,34.7,4685.0,7.8,,,72.6,13.4,3.2,252.5,,,,,,,,,,,,,,,,,,,,,,,,,21.02
JackLa00,Lamar Jackson,BAL,qb,@ 10:34 PM EDT,26,15.6,,514.9,331.2,187.5,11.6,23.0,24.6,3801.8,7.4,,,137.7,39.1,4.5,863.6,,,,,,,,,,,,,,,,,,,,,,,,,21.63
HerbJu00,Justin Herbert,LAC,qb,@ 10:34 PM EDT,25,16.5,,672.6,453.0,248.0,12.7,23.2,31.3,4956.5,7.4,,,64.2,12.3,2.2,251.5,,,,,,,,,,,,,,,,,,,,,,,,,20.23
HillTy00,Tyreek Hill,MIA,wr,@ 10:34 PM EDT,29,16.3,,,,,,,,,,,,7.4,1.9,0.2,42.2,74.4,111.7,8.9,1577.3,,,,,,,,,,,,,,,,,,,,,20.17
ChasJa00,Ja&apos;Marr Chase,CIN,wr,@ 10:34 PM EDT,23,16.3,,,,,,,,,,,,5.2,1.1,0.0,25.6,70.9,109.6,12.0,1439.5,,,,,,,,,,,,,,,,,,,,,20.17
McCaCh00,Christian McCaffrey,SF,rb,@ 10:34 PM EDT,27,15.5,,0.3,0.3,0.1,,,,4.7,15.1,,,219.3,50.8,9.6,1024.0,38.4,74.7,4.6,657.2,,,,,,,,,,,,,,,,,,,,,21.11
