id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
MahoPa00,Patrick Mahomes II,KC,qb,@ 10:10 PM EDT,28,15.0,,562.4,378.4,211.9,11.0,15.3,35.0,4498.3,8.0,,,58.7,16.1,2.7,334.3,,,,,,,,,,,,,,,,,,,,,,,,,22.95
HurtJa00,Jalen Hurts,PHI,qb,@ 10:10 PM EDT,25,15.0,,437.4,298.3,163.9,6.9,22.7,24.2,3522.3,8.1,,,128.3,35.8,9.3,658.0,,,,,,,,,,,,,,,,,,,,,,,,,22.83
AlleJo01,Josh Allen,BUF,qb,@ 10:10 PM EDT,27,15.0,,534.9,351.1,198.9,12.9,24.0,31.1,4005.7,7.5,,,93.2,26.9,5.1,543.3,,,,,,,,,,,,,,,,,,,,,,,,,22.69
JeffJu00,Justin Jefferson,MIN,wr,@ 10:10 PM EDT,24,14.7,,2.0,1.3,0.7,,,,33.3,16.7,,,3.8,1.4,0.4,24.3,74.6,112.8,8.1,1585.0,,,,,,,,,,,,,,,,,,,,,22.19
HillTy00,Tyreek Hill,MIA,wr,@ 10:10 PM EDT,29,14.7,,,,,,,,,,,,7.7,2.4,0.4,50.0,71.3,104.7,8.4,1538.0,,,,,,,,,,,,,,,,,,,,,21.53
HerbJu00,Justin Herbert,LAC,qb,@ 10:10 PM EDT,25,15.0,,566.3,389.6,210.5,10.2,24.0,26.9,4187.0,7.4,,,54.4,10.7,2.2,213.3,,,,,,,,,,,,,,,,,,,,,,,,,19.06
BurrJo01,Joe Burrow,CIN,qb,@ 10:10 PM EDT,26,15.0,,507.5,348.3,191.2,10.9,23.3,29.3,3888.3,7.7,,,61.7,11.0,2.5,209.3,,,,,,,,,,,,,,,,,,,,,,,,,18.93
FielJu00,Justin Fields,CHI,qb,@ 10:10 PM EDT,24,14.7,,401.9,256.4,146.2,12.0,27.3,19.6,2914.3,7.3,,,128.0,39.1,5.2,843.3,,,,,,,,,,,,,,,,,,,,,,,,,19.28
McCaCh00,Christian McCaffrey,SF,rb,@ 10:10 PM EDT,27,14.3,,1.3,0.7,0.4,,,,20.0,15.0,,,202.0,47.9,8.2,987.3,30.2,59.3,4.1,513.0,,,,,,,,,,,,,,,,,,,,,19.72
JackLa00,Lamar Jackson,BAL,qb,@ 10:10 PM EDT,26,15.0,,426.8,274.8,155.7,9.3,25.3,20.8,3186.7,7.5,,,108.1,31.4,4.2,678.3,,,,,,,,,,,,,,,,,,,,,,,,,18.82
